name,address,postcode,state,city,phone,email,principal_name,latitude,longitude
International Modern Preschool Ampang,"2, Jalan Memanda 12, Taman Dato Ahmad Razali, 68000 Ampang, Selangor",68000,Selangor,Ampang Jaya,+60 13-631 6972,,,3.1595294,101.7547307
Taska Dawid & Amra (Taman Melawati),"No. 278, Jalan H 5, Taman Melawati, 53100 Kuala Lumpur, Selangor",53100,Selangor,Kuala Lumpur,+60 12-251 8325,,,3.2282381,101.7447824
Da Vinci Creative Kids Ikano Power Centre,"Mutiara Damansara, 47820 Petaling Jaya, Selangor",47820,Selangor,Petaling Jaya,+60 3-7725 4668,,,3.15596,101.61131
Pasti Ibnu Sina,"Jalan Paip, Kampung Haji Mohd Shariff, Selangor, Meru, 41050",41050,Selangor,Kapar,+60 13-368 3912,,,3.1493095,101.4579523
Pasti Ar Raudah,"Jalan Nenas, Kampung Meru Barat, Selangor, Meru, 41050",41050,Selangor,Klang,+60 13-260 8323,,,3.135074,101.444492
Pusat Jagaan Adikku Sayang,"1, Jalan Setia Indah U13/11t, Setia Alam, 40170 Shah Alam, Selangor",40170,Selangor,Shah Alam,+60 11-1081 0085,,,3.096789,101.4578534
Pasti As-Syakirin Bandar Teknologi,"37, Jalan 3/10, Seksyen 10, 43100 Hulu Langat, Selangor",43100,Selangor,Hulu Langat,+60 13-347 6768,,,3.115127,101.827683
Tadika Pelangi Minda Cerdik,"45, Jalan Indah 2/1, Taman Puchong Indah, 47100 Puchong, Selangor",47100,Selangor,Puchong,+60 19-230 9569,,,3.0116323,101.6084826
Taska Kiddie Thinkers,"Jln Tanggilan P11/28, Presint 11, 62300 Putrajaya, Wilayah Persekutuan Putrajaya",62300,Putrajaya,Putrajaya,+60 19-213 5245,,,2.9675326,101.6737237
SuperKidZ Preschool,"No. 7A (Second Floor), Jalan M/J 2, Taman Majlis Jaya, Jalan Sungai Chua, Kampung Baru Sungai Chua, 43000 Kajang, Selangor",43000,Selangor,Kajang,+60 12-286 6700,,,2.9904852,101.7770708
