Tahun/Level,Subjek,Bidang / Topik,Kemahiran / Subtopik,Kod Kemahiran
Prasekolah,Matematik,Nombor,Membilang objek 1–10,MAT-PS-N01
Prasekolah,Matematik,Nombor,Mengenal nombor dan lambang angka 1–10,MAT-PS-N02
Prasekolah,Matematik,Nombor,Membanding lebih banyak dan lebih sedikit,MAT-PS-N03
Prasekolah,Matematik,Operasi,Menambah dengan objek hingga 5,MAT-PS-O01
Prasekolah,Matematik,Bentuk 2D,"Mengenal bentuk: bulatan, segi tiga, segi empat",MAT-PS-B01
Prasekolah,Matematik,Ruang,"Konsep: dalam, luar, atas, bawah, depan, belakang",MAT-PS-R01
Prasekolah,Matematik,Pola,Mengenal dan menyambung pola mudah,MAT-PS-P01
Prasekolah,Matematik,Sukatan,Bandingkan panjang: panjang vs pendek,MAT-PS-S01
Prasekolah,Sains,Hidupan,Benda hidup vs benda bukan hidup,SCI-PS-H01
Prasekolah,Sains,Hidupan,Lima deria manusia dan organ deria,SCI-PS-H02
Prasekolah,Sains,Hidupan,"Bahagian badan manusia (kepala, tangan, kaki)",SCI-PS-H03
Prasekolah,Sains,Haiwan,Mengenal haiwan biasa dan bunyinya,SCI-PS-A01
Prasekolah,Sains,Tumbuhan,"Bahagian tumbuhan: akar, batang, daun, bunga",SCI-PS-T01
Prasekolah,Sains,Cuaca,"Keadaan cuaca: cerah, hujan, berangin",SCI-PS-C01
Prasekolah,Sains,Bahan,Sifat bahan: terapung atau tenggelam,SCI-PS-M01
Prasekolah,English,Phonics,Mengenal huruf besar A–Z,ENG-PS-P01
Prasekolah,English,Phonics,"Bunyi huruf awal (phonics): a, b, c…",ENG-PS-P02
Prasekolah,English,Phonics,"Mengenal huruf vokal (A,E,I,O,U)",ENG-PS-P03
Prasekolah,English,Vocabulary,"Nama benda harian (cat, dog, ball, book)",ENG-PS-V01
Prasekolah,English,Vocabulary,"Warna asas (red, blue, yellow, green)",ENG-PS-V02
Prasekolah,English,Vocabulary,Nombor dalam BI (one to ten),ENG-PS-V03
Prasekolah,Bahasa Melayu,Fonetik,"Mengenal huruf vokal BM: a,e,i,o,u",BM-PS-F01
Prasekolah,Bahasa Melayu,Fonetik,"Suku kata KV: ba, bu, da, di, ma, mi",BM-PS-F02
Prasekolah,Bahasa Melayu,Fonetik,Membatang perkataan dua suku kata KV+KV,BM-PS-F03
Prasekolah,Bahasa Melayu,Kosa Kata,"Kosa kata benda harian (meja, kerusi, baju)",BM-PS-K01
Prasekolah,Bahasa Melayu,Ayat,"Memahami arahan mudah (duduk, berdiri, angkat tangan)",BM-PS-A01
Prasekolah,Chinese,Aksara,Membilang 1–10 dalam aksara Cina (一到十),ZH-PS-A01
Prasekolah,Chinese,Aksara,"Mengenal aksara asas (人,口,手,眼,耳)",ZH-PS-A02
Prasekolah,Chinese,Pinyin,"Bunyi vokal Pinyin: a, o, e, i, u, ü",ZH-PS-P01
Prasekolah,Geography,Persekitaran Diri,"Mengenal persekitaran terdekat: rumah, sekolah, kedai",GEO-PS-PD01
Prasekolah,Geography,Persekitaran Diri,"Mengenal tempat dalam rumah: bilik tidur, dapur, bilik air",GEO-PS-PD02
Prasekolah,Geography,Persekitaran Diri,Mengenal kawasan: bandar vs kampung,GEO-PS-PD03
Prasekolah,Geography,Alam Sekitar,"Mengenal unsur alam: tanah, air, udara",GEO-PS-AS01
Prasekolah,Geography,Alam Sekitar,Mengenal permukaan bumi: darat dan laut,GEO-PS-AS02
Prasekolah,Geography,Cuaca & Iklim,"Keadaan cuaca harian: panas, hujan, mendung, berangin",GEO-PS-CK01
Prasekolah,Geography,Pengangkutan,"Jenis pengangkutan: darat, air, udara",GEO-PS-PG01
Prasekolah,Geography,Arah,"Konsep arah mudah: kiri, kanan, depan, belakang",GEO-PS-AR01
Prasekolah,Sejarah,Identiti Diri,"Nama, umur, keluarga – siapa saya",SJ-PS-ID01
Prasekolah,Sejarah,Identiti Diri,"Mengenal ahli keluarga: ibu, ayah, adik-beradik",SJ-PS-ID02
Prasekolah,Sejarah,Budaya & Perayaan,"Mengenal perayaan Malaysia: Hari Raya, CNY, Deepavali, Krismas",SJ-PS-BP01
Prasekolah,Sejarah,Budaya & Perayaan,Mengenal pakaian tradisional kaum,SJ-PS-BP02
Prasekolah,Sejarah,Budaya & Perayaan,Mengenal makanan tradisional kaum,SJ-PS-BP03
Prasekolah,Sejarah,Simbol Negara,Mengenal bendera Malaysia (Jalur Gemilang),SJ-PS-SN01
Prasekolah,Sejarah,Simbol Negara,Mengenal bunga kebangsaan: Bunga Raya,SJ-PS-SN02
Prasekolah,Sejarah,Komuniti,"Mengenal pekerjaan dalam komuniti: doktor, guru, polis",SJ-PS-KM01
Tahun 1,Matematik,Nombor Bulat,Nilai nombor bulat hingga 100,MAT-T1-N01
Tahun 1,Matematik,Nombor Bulat,"Membilang dalam lingkungan 100 (1s, 2s, 5s, 10s)",MAT-T1-N02
Tahun 1,Matematik,Nombor Bulat,Nilai tempat: puluh dan sa,MAT-T1-N03
Tahun 1,Matematik,Operasi – Tambah,"Menambah dua nombor, hasil dalam lingkungan 100",MAT-T1-OT01
Tahun 1,Matematik,Operasi – Tambah,Pasangan nombor bagi suatu jumlah (nombor bon),MAT-T1-OT02
Tahun 1,Matematik,Operasi – Tolak,Menolak dua nombor dalam lingkungan 100,MAT-T1-OL01
Tahun 1,Matematik,Wang,Mengenal syiling Malaysia (5 sen hingga RM1),MAT-T1-W01
Tahun 1,Matematik,Masa,Membaca jam – tepat (o'clock),MAT-T1-M01
Tahun 1,Matematik,Sukatan Panjang,Mengukur panjang menggunakan unit tidak piawai,MAT-T1-SP01
Tahun 1,Matematik,Bentuk 2D & 3D,Mengenal dan menamakan bentuk 2D dan 3D,MAT-T1-B01
Tahun 1,Matematik,Data,Membaca piktograf mudah,MAT-T1-D01
Tahun 1,Sains,Sains Hayat,Ciri-ciri benda hidup dan bukan hidup,SCI-T1-H01
Tahun 1,Sains,Sains Hayat,"Keperluan asas hidupan: air, makanan, udara, cahaya",SCI-T1-H02
Tahun 1,Sains,Sains Hayat,Deria manusia dan fungsinya,SCI-T1-H03
Tahun 1,Sains,Sains Hayat,Haiwan: ciri-ciri dan pengkelasan asas,SCI-T1-A01
Tahun 1,Sains,Sains Hayat,Tumbuhan: bahagian-bahagian dan fungsinya,SCI-T1-T01
Tahun 1,Sains,Sains Fizikal,Magnet: bahan yang boleh dan tidak boleh ditarik magnet,SCI-T1-F01
Tahun 1,Sains,Sains Bahan,Penyerapan: bahan menyerap dan tidak menyerap air,SCI-T1-B01
Tahun 1,Sains,Bumi & Angkasa,"Permukaan bumi: tanah, batu, pasir",SCI-T1-E01
