Umur,Tahun/Level,Subjek,Bidang / Topik,Kemahiran / Subtopik,Kod Kemahiran,Tahap,Jenis Soalan,Contoh Soalan,Rujukan KSSR
4,Prasekolah Thn 1,Matematik,Nombor,Membilang objek 1–5,MAT-A4-N01,Mudah,MCQ,Berapa banyak kucing? [gambar 3 kucing],KSPK Tahun 1
4,Prasekolah Thn 1,Matematik,Nombor,Mengenal angka 1–5 dan lambangnya,MAT-A4-N02,Mudah,MCQ,Angka manakah menunjukkan tiga? [1/2/3/4],KSPK Tahun 1
4,Prasekolah Thn 1,Matematik,Perbandingan,Lebih banyak vs lebih sedikit (hingga 5),MAT-A4-N03,Mudah,MCQ,Kumpulan mana ada lebih banyak? [gambar 2 vs 4 objek],KSPK Tahun 1
4,Prasekolah Thn 1,Matematik,Bentuk 2D,"Mengenal bentuk: bulatan, segi tiga, segi empat",MAT-A4-B01,Mudah,MCQ,Bentuk manakah ini? [gambar bulatan],KSPK Tahun 1
4,Prasekolah Thn 1,Matematik,Ruang,"Konsep: dalam vs luar, atas vs bawah",MAT-A4-R01,Mudah,MCQ,Bola ada di ___ kotak? [gambar dalam kotak],KSPK Tahun 1
4,Prasekolah Thn 1,Matematik,Pola,"Mengenal pola AB (merah, biru, merah, biru)",MAT-A4-P01,Mudah,MCQ,"Warna seterusnya? [merah, biru, merah, ___]",KSPK Tahun 1
4,Prasekolah Thn 1,Matematik,Sukatan,Panjang vs pendek (perbandingan visual),MAT-A4-S01,Mudah,MCQ,Pensel mana yang lebih panjang? [gambar 2 pensel],KSPK Tahun 1
4,Prasekolah Thn 1,Sains,Hidupan,Benda hidup vs benda bukan hidup (visual),SCI-A4-H01,Mudah,MCQ,Yang mana satukah benda hidup? [kucing/kerusi],KSPK Tahun 1
4,Prasekolah Thn 1,Sains,Deria,"5 deria: mata, telinga, hidung, mulut, tangan",SCI-A4-D01,Mudah,MCQ,Kita guna ___ untuk melihat? [gambar mata/telinga/hidung],KSPK Tahun 1
4,Prasekolah Thn 1,Sains,Haiwan,"Mengenal haiwan biasa (kucing, anjing, ikan, burung)",SCI-A4-A01,Mudah,MCQ,Haiwan manakah ini? [gambar kucing],KSPK Tahun 1
4,Prasekolah Thn 1,Sains,Haiwan,"Bunyi haiwan (lembu=moo, kucing=meow)",SCI-A4-A02,Mudah,MCQ,Haiwan mana yang berbunyi 'moo'? [gambar],KSPK Tahun 1
4,Prasekolah Thn 1,Sains,Tumbuhan,"Mengenal tumbuhan biasa (pokok, bunga, rumput)",SCI-A4-T01,Mudah,MCQ,Yang mana satukah tumbuhan? [gambar pokok/batu/meja],KSPK Tahun 1
4,Prasekolah Thn 1,Sains,Cuaca,Mengenal cuaca: panas (matahari) vs hujan,SCI-A4-C01,Mudah,MCQ,Gambar mana menunjukkan hari hujan? [gambar],KSPK Tahun 1
4,Prasekolah Thn 1,English,Phonics,Mengenal huruf besar A–Z (recognition),ENG-A4-P01,Mudah,MCQ,Which letter is this? [A],KSPK Tahun 1
4,Prasekolah Thn 1,English,Phonics,Mengenal huruf kecil a–z (recognition),ENG-A4-P02,Mudah,MCQ,Which letter is this? [b],KSPK Tahun 1
4,Prasekolah Thn 1,English,Phonics,"Bunyi huruf awal mudah: /a/, /b/, /c/",ENG-A4-P03,Mudah,MCQ,'Apple' starts with which letter? [A/B/C/D],KSPK Tahun 1
4,Prasekolah Thn 1,English,Vocabulary,"Warna asas: red, blue, yellow, green",ENG-A4-V01,Mudah,MCQ,What colour is this? [gambar merah],KSPK Tahun 1
4,Prasekolah Thn 1,English,Vocabulary,"Nombor 1–5 dalam BI: one, two, three, four, five",ENG-A4-V02,Mudah,MCQ,How many cats? [gambar 3 kucing] (one/two/three),KSPK Tahun 1
4,Prasekolah Thn 1,English,Vocabulary,"Nama haiwan biasa: cat, dog, fish, bird",ENG-A4-V03,Mudah,MCQ,What is this? [gambar anjing] (cat/dog/fish),KSPK Tahun 1
4,Prasekolah Thn 1,Bahasa Melayu,Fonetik,"Mengenal huruf vokal: a, e, i, o, u",BM-A4-F01,Mudah,MCQ,Huruf mana ialah huruf vokal? [a/b/c/d],KSPK Tahun 1
4,Prasekolah Thn 1,Bahasa Melayu,Fonetik,"Mengenal huruf konsonan biasa: b, d, m, s",BM-A4-F02,Mudah,MCQ,Huruf pertama bagi perkataan 'bola' ialah ___?,KSPK Tahun 1
4,Prasekolah Thn 1,Bahasa Melayu,Kosa Kata,"Nama benda harian: meja, kerusi, buku, beg",BM-A4-K01,Mudah,MCQ,Apakah nama benda ini? [gambar meja],KSPK Tahun 1
4,Prasekolah Thn 1,Bahasa Melayu,Kosa Kata,"Warna dalam BM: merah, biru, kuning, hijau",BM-A4-K02,Mudah,MCQ,Warna apakah ini? [gambar merah],KSPK Tahun 1
4,Prasekolah Thn 1,Bahasa Melayu,Ayat,"Memahami arahan mudah: duduk, berdiri, lari",BM-A4-A01,Mudah,MCQ,Gambar mana menunjukkan kanak-kanak sedang 'duduk'?,KSPK Tahun 1
4,Prasekolah Thn 1,Chinese,Aksara,"Mengenal nombor Cina 1–5 (一,二,三,四,五)",ZH-A4-A01,Mudah,MCQ,Aksara manakah bermaksud 'tiga'? [一/二/三/四],KSPK Tahun 1
4,Prasekolah Thn 1,Chinese,Aksara,"Mengenal aksara mudah: 人,口,手,大,小",ZH-A4-A02,Mudah,MCQ,Aksara mana bermaksud 'besar'? [gambar/aksara],KSPK Tahun 1
4,Prasekolah Thn 1,Chinese,Pinyin,"Mengenal vokal Pinyin: a, o, e, i, u",ZH-A4-P01,Mudah,MCQ,Bunyi vokal dalam 'māo(猫)' ialah ___? (a/o/e),KSPK Tahun 1
4,Prasekolah Thn 1,Chinese,Kosa Kata,"Mengenal warna dalam BM Cina: 红,蓝,黄,绿",ZH-A4-K01,Mudah,MCQ,Aksara 红 bermaksud warna ___? [gambar warna],KSPK Tahun 1
4,Prasekolah Thn 1,Geography,Persekitaran,"Mengenal tempat: rumah, sekolah, taman",GEO-A4-PK01,Mudah,MCQ,Di manakah kita belajar? [gambar rumah/sekolah/kedai],KSPK Tahun 1
4,Prasekolah Thn 1,Geography,Persekitaran,"Mengenal bilik dalam rumah: bilik tidur, dapur, bilik air",GEO-A4-PK02,Mudah,MCQ,Di mana kita tidur? [gambar bilik tidur/dapur/bilik air],KSPK Tahun 1
4,Prasekolah Thn 1,Geography,Alam Sekitar,"Mengenal unsur alam: pokok, sungai, langit, tanah",GEO-A4-AS01,Mudah,MCQ,Gambar mana menunjukkan sungai? [gambar],KSPK Tahun 1
